"X","Y","AVERAGE CONC","ZELEV","ZHILL","ZFLAG","AVE","GRP","RANK","NET ID","DATE(CONC)"
"701100.0","1445000.0","163.29072","0.0","0.0","210.0","1-HR","ALL","1ST","UCART1","14010602.0"
"701200.0","1445000.0","157.73338","0.0","0.0","210.0","1-HR","ALL","1ST","UCART1","14010602.0"
"701300.0","1445000.0","150.18777","0.0","0.0","210.0","1-HR","ALL","1ST","UCART1","14010602.0"
"701400.0","1445000.0","170.68089","0.0","0.0","210.0","1-HR","ALL","1ST","UCART1","14010602.0"
"701500.0","1445000.0","164.57658","0.0","0.0","210.0","1-HR","ALL","1ST","UCART1","14010602.0"
"701600.0","1445000.0","160.54952","0.0","0.0","210.0","1-HR","ALL","1ST","UCART1","14010602.0"
"701700.0","1445000.0","158.58854","0.0","0.0","210.0","1-HR","ALL","1ST","UCART1","14010602.0"
"701800.0","1445000.0","158.31671","0.0","0.0","210.0","1-HR","ALL","1ST","UCART1","14010602.0"
"701900.0","1445000.0","159.11729","0.0","0.0","210.0","1-HR","ALL","1ST","UCART1","14010602.0"
"702000.0","1445000.0","160.1268","0.0","0.0","210.0","1-HR","ALL","1ST","UCART1","14010602.0"
"702100.0","1445000.0","160.25601","0.0","0.0","210.0","1-HR","ALL","1ST","UCART1","14010602.0"
"702200.0","1445000.0","156.95787","0.0","0.0","210.0","1-HR","ALL","1ST","UCART1","14010602.0"
"702300.0","1445000.0","150.28938","0.0","0.0","210.0","1-HR","ALL","1ST","UCART1","14010602.0"
"702400.0","1445000.0","139.30389","0.0","0.0","210.0","1-HR","ALL","1ST","UCART1","14010602.0"
"702500.0","1445000.0","123.76282","0.0","0.0","210.0","1-HR","ALL","1ST","UCART1","14010602.0"
"702600.0","1445000.0","117.91564","0.0","0.0","210.0","1-HR","ALL","1ST","UCART1","14010221.0"
"702700.0","1445000.0","139.60708","0.0","0.0","210.0","1-HR","ALL","1ST","UCART1","14010221.0"
"702800.0","1445000.0","153.07323","0.0","0.0","210.0","1-HR","ALL","1ST","UCART1","14010221.0"
"702900.0","1445000.0","155.65047","0.0","0.0","210.0","1-HR","ALL","1ST","UCART1","14010221.0"
"703000.0","1445000.0","147.68985","0.0","0.0","210.0","1-HR","ALL","1ST","UCART1","14010221.0"
"703100.0","1445000.0","132.58595","0.0","0.0","210.0","1-HR","ALL","1ST","UCART1","14010221.0"
"703200.0","1445000.0","115.57549","0.0","0.0","210.0","1-HR","ALL","1ST","UCART1","14010221.0"
"703300.0","1445000.0","118.6105","0.0","0.0","210.0","1-HR","ALL","1ST","UCART1","14010104.0"
"703400.0","1445000.0","124.55951","0.0","0.0","210.0","1-HR","ALL","1ST","UCART1","14010104.0"
"703500.0","1445000.0","120.08263","0.0","0.0","210.0","1-HR","ALL","1ST","UCART1","14010104.0"
"703600.0","1445000.0","114.85445","0.0","0.0","210.0","1-HR","ALL","1ST","UCART1","14010704.0"
"703700.0","1445000.0","129.12085","0.0","0.0","210.0","1-HR","ALL","1ST","UCART1","14010704.0"
"703800.0","1445000.0","145.14073","0.0","0.0","210.0","1-HR","ALL","1ST","UCART1","14010704.0"
"703900.0","1445000.0","162.62176","0.3","0.3","210.0","1-HR","ALL","1ST","UCART1","14010704.0"
"704000.0","1445000.0","154.19562","4.7","4.7","210.0","1-HR","ALL","1ST","UCART1","14010220.0"
"704100.0","1445000.0","193.31012","5.0","5.0","210.0","1-HR","ALL","1ST","UCART1","14010221.0"
"704200.0","1445000.0","192.46636","0.9","0.9","210.0","1-HR","ALL","1ST","UCART1","14010221.0"
"704300.0","1445000.0","198.21502","6.2","6.2","210.0","1-HR","ALL","1ST","UCART1","14010221.0"
"704400.0","1445000.0","192.42465","6.7","6.7","210.0","1-HR","ALL","1ST","UCART1","14010221.0"
"704500.0","1445000.0","230.15684","5.4","5.4","210.0","1-HR","ALL","1ST","UCART1","14010221.0"
"704600.0","1445000.0","204.07802","0.4","0.4","210.0","1-HR","ALL","1ST","UCART1","14010221.0"
"704700.0","1445000.0","180.67448","0.0","0.0","210.0","1-HR","ALL","1ST","UCART1","14010221.0"
"704800.0","1445000.0","193.62653","0.0","0.0","210.0","1-HR","ALL","1ST","UCART1","14010219.0"
"704900.0","1445000.0","201.28872","0.0","16.0","210.0","1-HR","ALL","1ST","UCART1","14010219.0"
"705000.0","1445000.0","174.23675","4.2","16.0","210.0","1-HR","ALL","1ST","UCART1","14010307.0"
"705100.0","1445000.0","187.77812","9.0","9.0","210.0","1-HR","ALL","1ST","UCART1","14010307.0"
"705200.0","1445000.0","181.70292","12.6","12.6","210.0","1-HR","ALL","1ST","UCART1","14010307.0"
"705300.0","1445000.0","185.09473","11.9","11.9","210.0","1-HR","ALL","1ST","UCART1","14010219.0"
"705400.0","1445000.0","198.08663","9.2","9.2","210.0","1-HR","ALL","1ST","UCART1","14010219.0"
"705500.0","1445000.0","204.46631","9.2","9.2","210.0","1-HR","ALL","1ST","UCART1","14010219.0"
"705600.0","1445000.0","199.04384","7.4","7.4","210.0","1-HR","ALL","1ST","UCART1","14010219.0"
"705700.0","1445000.0","186.40941","8.4","8.4","210.0","1-HR","ALL","1ST","UCART1","14010219.0"
"705800.0","1445000.0","196.68507","7.3","7.3","210.0","1-HR","ALL","1ST","UCART1","14010219.0"
