"X","Y","AVERAGE CONC","ZELEV","ZHILL","ZFLAG","AVE","GRP","RANK","NET ID","DATE(CONC)"
"701100.0","1445000.0","55.10576","0.0","0.0","50.0","1-HR","ALL","1ST","UCART1","14010124.0"
"701200.0","1445000.0","50.83015","0.0","0.0","50.0","1-HR","ALL","1ST","UCART1","14010124.0"
"701300.0","1445000.0","84.07218","0.0","0.0","50.0","1-HR","ALL","1ST","UCART1","14010602.0"
"701400.0","1445000.0","44.46906","0.0","0.0","50.0","1-HR","ALL","1ST","UCART1","14010124.0"
"701500.0","1445000.0","30.98877","0.0","0.0","50.0","1-HR","ALL","1ST","UCART1","14010101.0"
"701600.0","1445000.0","28.32718","0.0","0.0","50.0","1-HR","ALL","1ST","UCART1","14010101.0"
"701700.0","1445000.0","28.91173","0.0","0.0","50.0","1-HR","ALL","1ST","UCART1","14010104.0"
"701800.0","1445000.0","35.6761","0.0","0.0","50.0","1-HR","ALL","1ST","UCART1","14010104.0"
"701900.0","1445000.0","42.03543","0.0","0.0","50.0","1-HR","ALL","1ST","UCART1","14010104.0"
"702000.0","1445000.0","47.26798","0.0","0.0","50.0","1-HR","ALL","1ST","UCART1","14010104.0"
"702100.0","1445000.0","50.71965","0.0","0.0","50.0","1-HR","ALL","1ST","UCART1","14010104.0"
"702200.0","1445000.0","52.04577","0.0","0.0","50.0","1-HR","ALL","1ST","UCART1","14010104.0"
"702300.0","1445000.0","51.31908","0.0","0.0","50.0","1-HR","ALL","1ST","UCART1","14010104.0"
"702400.0","1445000.0","50.2435","0.0","0.0","50.0","1-HR","ALL","1ST","UCART1","14010602.0"
"702500.0","1445000.0","46.34651","0.0","0.0","50.0","1-HR","ALL","1ST","UCART1","14010602.0"
"702600.0","1445000.0","44.83804","0.0","0.0","50.0","1-HR","ALL","1ST","UCART1","14010124.0"
"702700.0","1445000.0","46.02466","0.0","0.0","50.0","1-HR","ALL","1ST","UCART1","14010118.0"
"702800.0","1445000.0","47.68751","0.0","0.0","50.0","1-HR","ALL","1ST","UCART1","14010118.0"
"702900.0","1445000.0","48.20988","0.0","0.0","50.0","1-HR","ALL","1ST","UCART1","14010118.0"
"703000.0","1445000.0","49.07465","0.0","0.0","50.0","1-HR","ALL","1ST","UCART1","14010220.0"
"703100.0","1445000.0","50.56228","0.0","0.0","50.0","1-HR","ALL","1ST","UCART1","14010104.0"
"703200.0","1445000.0","53.49884","0.0","0.0","50.0","1-HR","ALL","1ST","UCART1","14010104.0"
"703300.0","1445000.0","55.18649","0.0","0.0","50.0","1-HR","ALL","1ST","UCART1","14010104.0"
"703400.0","1445000.0","54.67235","0.0","0.0","50.0","1-HR","ALL","1ST","UCART1","14010104.0"
"703500.0","1445000.0","56.10848","0.0","0.0","50.0","1-HR","ALL","1ST","UCART1","14010309.0"
